"","crn","stn","cast","mdate","press","theta","sigma","temp","csal","coxy","bsal","boxy","dic","ph","alk","phos","nit","sil","dop","don","doc","tdp","tdn","pc","pn","pp","lln","llp","atp","n2o","psi","p15n","no2"
"1",36,2,1,41692,4397.6,1.1111,27.786,1.4735,34.6868,-9,-9,150.9,2327.7,7.585,-9,2.44,36.02,145.57,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2",36,2,4,-9,229,15.8537,25.543,15.8897,34.6902,192.9,34.6931,195,2056.5,7.915,2290,0.46,5.34,5.23,0.11,4.63,-9,0.57,9.97,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"3",36,2,4,-9,253.9,14.5497,25.703,14.5873,34.5251,193.1,34.5253,192.9,2066.2,7.882,2270,0.61,7.43,6.92,0.15,4.53,-9,0.75,11.97,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4",36,2,4,-9,505.2,6.2269,26.761,6.2717,34.0344,97.1,34.0334,95.7,2237.1,7.479,-9,2.35,32.97,58.41,0.07,2.96,-9,2.41,35.93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"5",36,2,4,-9,1043.7,3.8533,27.404,3.9321,34.5002,42.2,34.5002,44.4,2345.7,7.402,-9,3.01,41.91,111.37,0.03,2.27,-9,3.04,44.18,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"6",36,2,5,-9,29.5,23.5528,23.836,23.5589,35.0838,212.9,35.0836,213.6,1976.6,8.074,2306,0.09,0,2.26,0.23,5.72,-9,0.32,5.72,-9,-9,-9,2.2,91.8,-9,-9,-9,-9,-9
"7",36,2,5,-9,78.5,22.2477,24.326,22.2633,35.2339,218.3,35.2348,218,1989.1,8.065,2318,0.07,0,1.63,0.22,5.88,-9,0.29,5.88,-9,-9,-9,0.9,60.5,-9,-9,-9,-9,-9
"8",36,2,5,-9,99.2,21.7867,24.474,21.8062,35.2589,215.9,35.2561,216.5,1997.8,8.058,2324,0.08,0,1.19,0.28,5.97,-9,0.36,5.97,-9,-9,-9,4.9,65.4,-9,-9,-9,-9,-9
"9",36,2,5,-9,119.6,21.2409,24.6,21.264,35.2261,217.1,35.2305,212,2008.7,8.038,2318,0.1,0.01,1.73,0.21,5.98,-9,0.3,5.99,-9,-9,-9,13.5,85.9,-9,-9,-9,-9,-9
"10",36,2,5,-9,154,19.4165,25.005,19.4444,35.1185,-9,-9,194.9,2040.8,7.974,2307,0.24,2.21,2.48,0.19,4.85,-9,0.43,7.06,-9,-9,-9,-9,266.6,-9,-9,-9,-9,-9
"11",36,2,5,-9,182,17.8625,25.279,17.8936,34.9647,194.9,34.9582,196.6,2047.4,7.954,2300,0.29,3.14,3.29,0.16,4.24,-9,0.45,7.37,-9,-9,-9,-9,343.8,-9,-9,-9,-9,-9
"12",36,2,5,-9,203.1,16.7652,25.425,16.7985,34.8112,194.1,34.8124,194.9,2055.3,7.928,2289,0.39,4.36,4.21,0.15,4.88,-9,0.54,9.24,-9,-9,-9,-9,439.5,-9,-9,-9,-9,-9
"13",37,2,1,60892,3005.2,1.3236,27.756,1.5418,34.6676,-9,-9,124.7,2346.1,7.536,2422,2.61,37.41,160.7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"14",37,2,1,60892,3989.8,1.1352,27.782,1.4516,34.6837,147.2,34.6822,147.6,2330.8,7.572,2412,2.5,36.07,153.32,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"15",37,2,3,60992,503.5,6.3848,26.743,6.4301,34.038,99.7,34.0382,95.8,2234.4,7.473,2290,2.37,32.15,56.32,0.03,3.31,-9,2.4,35.47,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"16",37,2,3,60992,1035.2,3.7542,27.408,3.8314,34.4927,45.4,34.4903,43.8,2345.9,7.387,2375,3.04,41.85,115.38,0.01,2.1,-9,3.05,43.95,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
