,crn,stn,cast,press,theta,sigma,temp,csal,coxy,dic,ph,alk,phos,nit,sil,doc
8767,44.0,2.0,5.0,130.4,22.6826,24.123,22.709,35.1289,212.9,1978.8,8.089,2306.0,0.04,0.04,1.21,74.8
9002,45.0,2.0,5.0,527.3,6.7852,26.712,6.8344,34.0651,106.3,2218.1,7.509,2280.0,2.24,30.55,52.11,43.88
9005,45.0,2.0,5.0,801.3,4.4885,27.207,4.5511,34.3372,30.2,2329.3,7.352,2337.0,3.03,41.19,99.78,42.31
9015,45.0,2.0,6.0,45.4,22.8706,23.992,22.8798,35.028,210.6,1975.0,8.087,2301.0,0.06,0.01,1.19,78.42
9017,45.0,2.0,6.0,74.3,22.4827,24.143,22.4976,35.0803,207.1,1984.8,8.073,2304.0,0.07,0.18,1.3,72.46
9024,45.0,2.0,6.0,151.5,18.838,25.081,18.8649,35.0246,190.3,2039.6,7.977,2299.0,0.25,2.72,2.93,60.55
9282,46.0,2.0,3.0,26.0,23.4715,23.851,23.4769,35.0721,214.3,1976.7,8.09,2301.0,0.05,0.02,1.28,89.45
9286,46.0,2.0,3.0,75.5,22.6153,24.123,22.6305,35.1043,215.2,1982.4,8.088,2309.0,0.05,0.01,1.23,85.64
9291,46.0,2.0,3.0,125.0,21.7863,24.39,21.8109,35.1478,208.3,1997.8,8.058,2316.0,0.1,0.14,1.32,69.04
9293,46.0,2.0,3.0,150.4,21.1146,24.629,21.1436,35.2182,209.0,2005.6,8.051,2312.0,0.09,0.46,1.47,71.09
9297,46.0,2.0,3.0,196.2,19.875,24.911,19.9112,35.1523,200.5,2026.7,8.009,2301.0,0.17,1.5,2.05,60.2
9687,47.0,2.0,8.0,798.9,4.6197,27.203,4.6829,34.3499,27.7,2335.3,7.338,2343.0,3.03,41.01,97.24,46.02
9689,47.0,2.0,8.0,1034.3,3.8692,27.399,3.9473,34.4967,41.7,2347.3,7.383,2374.0,3.01,41.09,111.37,43.77
9705,47.0,2.0,9.0,150.1,21.5267,24.474,21.556,35.1631,201.3,2008.4,8.046,2309.0,0.11,0.6,1.73,74.7
10363,50.0,2.0,6.0,7.1,25.9629,23.167,25.9645,35.1616,201.4,1970.0,8.114,2312.0,0.05,0.01,1.11,94.33
10364,50.0,2.0,6.0,17.2,25.9695,23.166,25.9733,35.1631,201.3,1970.4,8.115,2314.0,0.04,0.01,0.88,91.4
10368,50.0,2.0,6.0,48.4,25.9378,23.289,25.9486,35.3135,204.7,1980.6,8.11,2325.0,0.02,0.01,0.82,77.04
10369,50.0,2.0,6.0,58.5,25.805,23.364,25.8179,35.3577,208.3,1985.6,8.106,2326.0,0.01,0.01,0.85,78.99
10371,50.0,2.0,6.0,78.9,23.1553,24.085,23.1715,35.2594,230.5,1993.9,8.083,2316.0,0.01,0.01,1.18,73.04
10372,50.0,2.0,6.0,93.4,22.1772,24.343,22.1958,35.2303,226.1,1999.5,8.07,2317.0,0.01,0.03,1.24,71.18
